clu_identi,PPB,CDF
C3112420-B84A-44AB-BE70-CFEC3CB88A0E,0.459964189,0.12037037
8cb53b70-2fbd-458b-b390-c62436aa98c0,0.466279685,0.12345679
6d666fb9-d0ef-424a-aaa1-1c93f57e51be,0.471713487,0.12654321
583E3286-2284-4487-A0EA-261B7A8FA1CD,0.472479563,0.12962963
9b781cc8-137a-4705-b0a2-019ad98674bb,0.474857942,0.132716049
a4020a2d-022f-4fe3-af5e-fc2f7d78cdea,0.475412904,0.135802469
E217A623-44E1-4228-907A-4E125A38EFC5,0.475674026,0.138888889
E9D43960-7013-46C2-A680-9B8330EE0F2C,0.476855852,0.141975309
FFD7794B-4C6E-459D-9959-4CEF1B6215A8,0.479782846,0.145061728
0174791C-4273-40D5-AE13-4AF99AB79E19,0.480255337,0.148148148
6ac4c288-5998-4d9f-a9d3-0db2f4bd52be,0.484832889,0.151234568
23e4f98e-47ff-44eb-928d-d28378e4b2d2,0.485476639,0.154320988
aa7a7afb-d4e0-413e-b6c5-103470e12dea,0.486202742,0.157407407
6172A3BE-C873-4396-BBF7-904C60106BD5,0.488725277,0.160493827
E0C81253-ACD1-4C47-B5A4-CC7CD5E898EF,0.49293795,0.163580247
7A2C3A62-FEC8-4648-9648-70588E18F5C2,0.494386041,0.166666667
90569855-F3D0-4984-B3F1-F48D1E9F646B,0.496943578,0.169753086
6CA5EF6F-7BE5-4A77-A2CC-2CF7FEB97A77,0.501170096,0.172839506
69B0A4E8-00D1-4E54-AB98-FB639C38C563,0.501702054,0.175925926
11963b4d-acab-4b2a-8e61-8c7b583f6031,0.501933353,0.179012346
a5de90e4-51d1-44b3-bbbd-35e00c0c12fa,0.50303348,0.182098765
163e9d77-3ec4-4fd1-8aee-623b6c77c162,0.503310114,0.185185185
de19e919-6d2e-4724-a386-1a51c50a4ad9,0.50552833,0.188271605
8ce7b6e4-ec1b-4b91-b0d6-74ea4e85e183,0.506182549,0.191358025
4EBA9B89-59CC-4FED-9B41-E5234105D533,0.511540361,0.194444444
3bcc33e7-8855-4d21-b778-fba90b38ff48,0.511878183,0.197530864
4E87BC35-4CB6-48BC-9670-E98ACA2C1A9D,0.514224761,0.200617284
278BB650-8A5B-4BCF-BC20-E16F3C8B06A5,0.517037785,0.203703704
a197aee6-f41f-4b76-9774-efed20089d3e,0.517392026,0.206790123
87A1A0DF-FCB4-49AA-83EB-C6EFE3618271,0.517598483,0.209876543
e0761a77-8df5-4b41-8da2-2815f2cefaed,0.517826525,0.212962963
F0DAE830-FD9D-4525-8A62-0C7497D8A35C,0.518791848,0.216049383
206D96DD-B847-4943-B24B-BD142B54D4C1,0.519174195,0.219135802
